Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         SOT-223          50026.575mil   30243.11mil  50026.575mil  30119.094mil  49936.024mil  30119.094mil  T        360.00 NCP1117LP      
C10        0805             49830.709mil  30331.693mil  49830.709mil  30331.693mil  49830.709mil  30294.291mil  T         90.00 Cap            
C9         0805             50119.094mil  29978.346mil  50119.094mil  29978.346mil  50119.094mil  29940.945mil  T         90.00 Cap            
C22        0603             48613.189mil  31310.039mil  48613.189mil  31310.039mil  48583.661mil  31310.039mil  T        360.00 Cap            
C14        0603             49643.701mil  31309.055mil  49643.701mil  31309.055mil  49614.173mil  31309.055mil  T        360.00 Cap            
C13        0603             50338.583mil  29841.535mil  50338.583mil  29841.535mil  50338.583mil  29812.008mil  T         90.00 Cap            
R1         0603             49702.756mil      31250mil  49702.756mil      31250mil  49732.283mil      31250mil  T        180.00 Res2           
R14        0603             48435.197mil  29512.677mil  48435.197mil  29512.677mil  48435.197mil   29483.15mil  T         90.00 Res2           
R13        0603             48786.417mil  30082.677mil  48786.417mil  30082.677mil   48756.89mil  30082.677mil  T        360.00 Res2           
R12        0603             48846.457mil  29412.677mil  48846.457mil  29412.677mil  48846.457mil   29383.15mil  T         90.00 Res2           
R11        0603             48788.957mil  29412.677mil  48788.957mil  29412.677mil  48788.957mil   29383.15mil  T         90.00 Res2           
R10        0603             48731.457mil  29412.677mil  48731.457mil  29412.677mil  48731.457mil   29383.15mil  T         90.00 Res2           
R9         0603             48673.957mil  29412.677mil  48673.957mil  29412.677mil  48673.957mil   29383.15mil  T         90.00 Res2           
R8         0603             48616.457mil  29412.677mil  48616.457mil  29412.677mil  48616.457mil   29383.15mil  T         90.00 Res2           
Q1         SOT23_M          48480.197mil  29382.677mil  48480.197mil  29382.677mil  48526.457mil  29382.677mil  T        360.00 NPN            
P6         ER-TFT032-2      49246.457mil  29599.844mil  49246.457mil  29599.842mil  49955.117mil  29599.844mil  B        180.00 ER-TFT032-2    
Y1         HC49SD_XTAL      48279.488mil  30409.842mil  48281.457mil  30409.842mil  48281.457mil   30596.85mil  T        270.00 XTAL           
U4         ISM-WIFI         48774.153mil  28072.047mil  49047.913mil  27727.874mil  49047.913mil  27727.874mil  T        180.00 ISM43xx        
U2         LQFP64           49097.835mil  30372.204mil  48871.457mil  30519.842mil  48871.457mil  30519.842mil  T          0.00 STM32F205      
S1         FSM4JSMA         49886.457mil  30824.842mil  49886.457mil  30824.842mil  49797.874mil  31003.976mil  T        360.00 SW-PB          
R7         0603             48412.913mil  28042.874mil  48412.913mil  28042.874mil  48412.913mil  28013.346mil  T         90.00 Res2           
R6         0603             48887.913mil  28557.874mil  48887.913mil  28557.874mil  48887.913mil  28528.346mil  T         90.00 Res2           
R3         0603              48671.26mil  31245.079mil   48671.26mil  31245.079mil  48700.788mil  31245.079mil  T        180.00 Res2           
R2         0603              48756.89mil  30218.504mil   48756.89mil  30218.504mil  48727.362mil  30218.504mil  T          0.00 Res2           
R4         0603             49153.543mil  30055.118mil  49153.543mil  30055.118mil  49153.543mil   30025.59mil  T         90.00 Res2           
P5         MOLEX_70555-0002  48742.717mil  31596.536mil  48742.717mil  31426.457mil  48642.717mil  31426.457mil  T        360.00 OW2            
P4         MOLEX_70555-0002  49773.976mil  31596.535mil  49773.976mil  31426.457mil  49673.976mil  31426.457mil  T        360.00 OW1            
